Region,UF,SAEB_General,Math_Mean,Language_Mean,SES_Index,Public_Share
S,SC,264.3371268368136,266.8220185614849,261.8522351121423,,0.9609704641350211
CO,MS,260.01543572984747,260.39599128540306,259.63488017429194,,0.8951507208387942
S,RS,255.94875,257.55253707627116,254.34496292372881,,0.9714566929133859
CO,GO,255.090196969697,255.8009696969697,254.37942424242425,,0.9605911330049262
SE,MG,255.06113396331295,257.2824180100056,252.83984991662035,,0.9769650079127835
SE,ES,253.81233118971062,256.4416237942122,251.183038585209,,0.9191374663072777
CO,DF,252.85892655367235,254.3620338983051,251.35581920903957,,0.891500904159132
SE,SP,252.76131671899526,254.67924646781788,250.84338697017267,,0.9900206096105868
NE,CE,252.12802150537635,252.96408602150538,251.29195698924732,,0.9465677179962895
S,PR,251.00387474882785,253.49346282652377,248.51428667113197,,0.9742477636215776
N,RO,250.21210069444442,251.75524305555552,248.66895833333334,,0.9050736497545008
SE,RJ,246.9734285714286,249.14027988338194,244.80657725947523,,0.9650568181818182
N,AC,242.26925373134327,242.5221641791045,242.01634328358207,,0.9490616621983914
N,TO,239.85545731707316,241.88966463414633,237.82125,,0.9182209469153515
CO,MT,239.5697453310696,241.98514431239389,237.15434634974534,,0.9231536926147704
N,AM,239.52945614035087,239.08675438596492,239.97215789473685,,0.9289026275115919
NE,PE,239.26899071925754,241.7331090487239,236.8048723897912,,0.964453125
NE,RN,237.28529109589041,239.33085616438356,235.23972602739727,,0.9340390879478827
NE,PI,237.27719758064518,238.9372446236559,235.61715053763442,,0.9339019189765458
NE,SE,236.58815594059405,239.15987623762376,234.01643564356436,,0.9207161125319693
NE,BA,233.3801268591426,235.57238407699037,231.18786964129484,,0.9797418073485601
NE,PB,233.2384388807069,235.2803092783505,231.19656848306332,,0.9441260744985673
N,RR,232.75703703703704,233.88432098765432,231.62975308641973,,0.9365079365079365
N,PA,230.99459349593496,232.11368070953438,229.87550628233555,,0.9757617728531855
NE,AL,230.44327835051547,233.3702886597938,227.5162680412371,,0.9421708185053381
N,AP,227.46417355371904,228.96314049586778,225.96520661157027,,0.9073482428115016
NE,MA,225.21029745989307,226.1525334224599,224.26806149732622,,0.9661854103343465
