Ano,Região,UF,Rede,Série,Média_Geral,Média_Mat,Média_Port,N_Alunos
2017,Sudeste,ES,PUBLIC,3EM,288.86408499249825,292.6386350918454,285.0895348931511,24661.0
2017,Centro-Oeste,DF,PUBLIC,3EM,277.9614748537284,281.02519544379436,274.8977542636624,16066.0
2017,Sul,RS,PUBLIC,3EM,277.75082079057813,279.7342444683703,275.76739711278594,45511.0
2017,Sudeste,MG,PUBLIC,3EM,274.5303223488619,276.72802134490007,272.33262335282365,151699.0
2017,Centro-Oeste,GO,PUBLIC,3EM,274.38444326355545,275.1772135658841,273.5916729612268,52691.0
2017,Sul,SC,PUBLIC,3EM,273.39582286509267,276.5847894758378,270.20685625434754,24439.0
2017,Sul,PR,PUBLIC,3EM,272.3164566292078,274.04767283337156,270.58524042504393,78486.0
2017,Centro-Oeste,MS,PUBLIC,3EM,271.3688707308116,272.4108769739258,270.3268644876974,13615.0
2017,Norte,RO,PUBLIC,3EM,270.41108422239574,272.2139058027583,268.60826264203314,11529.0
2017,Sudeste,SP,PUBLIC,3EM,269.331637315753,268.3563731291629,270.3069015023431,352516.0
2017,Nordeste,CE,PUBLIC,3EM,268.4821671947956,269.13112721002364,267.8332071795676,89309.0
2017,Nordeste,PE,PUBLIC,3EM,267.9688335433384,268.84172770077595,267.0959393859009,75395.0
2017,Centro-Oeste,MT,PUBLIC,3EM,264.85506411683514,266.3910837526159,263.31904448105433,22459.0
2017,Sudeste,RJ,PUBLIC,3EM,264.76264592785844,264.78071166061704,264.7445801950998,88160.0
2017,Norte,AC,PUBLIC,3EM,264.6678593477386,264.163306938666,265.1724117568112,7451.0
2017,Norte,TO,PUBLIC,3EM,263.93325335681266,266.3497270526084,261.516779661017,13629.0
2017,Nordeste,SE,PUBLIC,3EM,263.2548121502797,264.9237962357386,261.5858280648208,13761.0
2017,Nordeste,PI,PUBLIC,3EM,257.79435034721,260.02809686629774,255.56060382812225,28369.0
2017,Nordeste,RN,PUBLIC,3EM,256.82463572332585,257.99202057998133,255.65725086667032,18173.0
2017,Norte,RR,PUBLIC,3EM,256.5696341124096,257.18748469671675,255.9517835281024,3594.0
2017,Nordeste,PB,PUBLIC,3EM,255.25759348914858,255.68487854757927,254.83030843071785,23960.0
2017,Nordeste,AL,PUBLIC,3EM,253.16982491723786,253.45548002051567,252.88416981396003,21447.0
2017,Norte,AP,PUBLIC,3EM,251.89519842910295,250.03270773046714,253.75768912773873,7257.0
2017,Nordeste,MA,PUBLIC,3EM,249.48336129762131,248.34138489340756,250.62533770183506,68063.0
2017,Norte,AM,PUBLIC,3EM,249.46854597233525,248.0970328955016,250.8400590491689,43015.0
2017,Nordeste,BA,PUBLIC,3EM,246.63395433607047,247.2215543761266,246.04635429601439,99860.0
2017,Norte,PA,PUBLIC,3EM,241.63438809018135,241.57313053422644,241.69564564613623,61210.0
