Ano,Região,UF,Rede,Série,Média_Geral,Média_Mat,Média_Port,N_Alunos
2023,Sul,SC,PUBLIC,9EF,265.63377816533614,265.55530329030813,265.7122530403641,53612.0
2023,Centro-Oeste,GO,PUBLIC,9EF,265.20667062899554,264.7150640012757,265.6982772567154,68983.0
2023,Nordeste,CE,PUBLIC,9EF,264.66497255974275,263.8554164179392,265.47452870154626,103862.0
2023,Sul,PR,PUBLIC,9EF,264.5832594406119,264.76159174514726,264.4049271360766,119881.0
2023,Sul,RS,PUBLIC,9EF,262.96603382294563,261.33003414053195,264.60203350535926,62975.0
2023,Sudeste,ES,PUBLIC,9EF,260.89648318644424,260.0588550519358,261.7341113209527,38124.0
2023,Sudeste,SP,PUBLIC,9EF,259.9665251690754,258.2159714257971,261.7170789123537,381043.0
2023,Sudeste,MG,PUBLIC,9EF,253.9311799177035,252.55433478817886,255.30802504722817,184212.0
2023,Sudeste,RJ,PUBLIC,9EF,253.04674799274534,250.72546706879686,255.36802891669382,98144.0
2023,Norte,AC,PUBLIC,9EF,252.139249072602,249.2009570747218,255.0775410704822,9435.0
2023,Nordeste,PI,PUBLIC,9EF,251.88955978659737,251.88056060520518,251.8985589679896,35426.0
2023,Centro-Oeste,DF,PUBLIC,9EF,251.33038012311255,249.17337980743935,253.48738043878575,19007.0
2023,Centro-Oeste,MS,PUBLIC,9EF,251.1906883141671,249.0340807367467,253.3472958915875,20957.0
2023,Nordeste,AL,PUBLIC,9EF,250.5604663685957,252.28505286541815,248.83587987177324,35562.0
2023,Nordeste,PE,PUBLIC,9EF,249.3555632621218,248.14740913317158,250.56371739107203,93571.0
2023,Norte,AM,PUBLIC,9EF,248.46259599035153,246.1778039859227,250.74738799478035,50578.0
2023,Norte,RO,PUBLIC,9EF,247.47265742266154,246.7212557203002,248.22405912502288,21852.0
2023,Norte,TO,PUBLIC,9EF,247.19287346832363,246.36994047101766,248.0158064656296,23014.0
2023,Centro-Oeste,MT,PUBLIC,9EF,245.46508119690247,243.65976292509333,247.27039946871162,39903.0
2023,Nordeste,PB,PUBLIC,9EF,242.61694891690058,240.53695752343626,244.6969403103649,37762.0
2023,Norte,PA,PUBLIC,9EF,240.4210482171799,237.99915792139385,242.84293851296596,98720.0
2023,Nordeste,SE,PUBLIC,9EF,240.258263226366,238.38357665992098,242.13294979281105,20754.0
2023,Nordeste,RN,PUBLIC,9EF,238.71066270301628,236.4189172467131,241.00240815931943,20688.0
2023,Norte,AP,PUBLIC,9EF,238.63938595385196,233.99899382171225,243.2797780859917,7931.0
2023,Nordeste,BA,PUBLIC,9EF,235.69988166527497,234.26490723289197,237.13485609765794,125745.0
2023,Nordeste,MA,PUBLIC,9EF,235.56883741406347,233.390446508262,237.74722831986494,82910.0
2023,Norte,RR,PUBLIC,9EF,234.43494728577838,233.7246321220278,235.14526244952899,4458.0
