Ano,Região,UF,Rede,Série,Média_Geral,Média_Mat,Média_Port,N_Alunos
2017,Sul,SC,PUBLIC,9EF,267.1566068282463,267.9763554116471,266.33685824484553,63003.0
2017,Centro-Oeste,GO,PUBLIC,9EF,263.0207728020687,261.15599494593323,264.88555065820407,68064.0
2017,Sul,PR,PUBLIC,9EF,263.0023557961906,263.7730847916465,262.2316268007348,103430.0
2017,Sul,RS,PUBLIC,9EF,262.9116635088567,262.87138312076394,262.95194389694944,78641.0
2017,Centro-Oeste,MS,PUBLIC,9EF,260.61563057032475,260.1836453352714,261.0476158053781,26143.0
2017,Sudeste,ES,PUBLIC,9EF,259.18123886972234,260.47210645638245,257.8903712830622,30435.0
2017,Nordeste,CE,PUBLIC,9EF,258.8437028087133,257.094872372147,260.59253324527964,99939.0
2017,Norte,RO,PUBLIC,9EF,258.6490087629145,258.2882544490723,259.0097630767566,18487.0
2017,Sudeste,MG,PUBLIC,9EF,257.93485674762064,258.52044480813635,257.3492686871049,205302.0
2017,Sudeste,SP,PUBLIC,9EF,257.93342243829653,256.9189600892796,258.94788478731346,324374.0
2017,Centro-Oeste,DF,PUBLIC,9EF,255.78065345974863,256.2263132257644,255.33499369373286,22993.0
2017,Sudeste,RJ,PUBLIC,9EF,253.17085115404467,252.3426163262296,253.9990859818597,108488.0
2017,Norte,TO,PUBLIC,9EF,252.48289351851852,252.65797839506175,252.3078086419753,18792.0
2017,Norte,AC,PUBLIC,9EF,250.89371385842475,249.08437686939186,252.7030508474576,10030.0
2017,Norte,AM,PUBLIC,9EF,246.70266609111167,242.73168028590356,250.6736518963198,49807.0
2017,Centro-Oeste,MT,PUBLIC,9EF,246.67175926749047,246.24416422200494,247.09935431297598,33747.0
2017,Nordeste,PI,PUBLIC,9EF,245.30287396790774,245.58430783611152,245.02144009970397,32095.0
2017,Nordeste,PE,PUBLIC,9EF,243.47304104233757,242.3637023658163,244.58237971885882,84157.0
2017,Nordeste,AL,PUBLIC,9EF,240.7197503545642,240.28172866168126,241.15777204744717,31024.0
2017,Nordeste,SE,PUBLIC,9EF,240.32983039388597,239.88675132275134,240.77290946502058,17010.0
2017,Norte,RR,PUBLIC,9EF,238.74986065870428,238.11113825551934,239.38858306188925,5526.0
2017,Nordeste,RN,PUBLIC,9EF,237.57939678769827,235.71530633604382,239.44348723935272,24842.0
2017,Nordeste,PB,PUBLIC,9EF,237.0222450139958,235.608347912293,238.4361421156986,34296.0
2017,Nordeste,BA,PUBLIC,9EF,235.4717173391648,234.48976407700027,236.45367060132932,127584.0
2017,Norte,PA,PUBLIC,9EF,232.2932210730851,229.86122138648614,234.72522075968408,79770.0
2017,Norte,AP,PUBLIC,9EF,228.98030129870136,225.69540909090915,232.26519350649355,7700.0
2017,Nordeste,MA,PUBLIC,9EF,227.57382465603501,225.05330532103397,230.09434399103606,76752.0
