Ano,Região,UF,Média_Geral,Média_Geral_Ponderada,N_Alunos,Ciências,Ciências_Ponderada,IBGE_CODE,Leitura,Leitura_Ponderada,Matemática,Matemática_Ponderada
2015,Sul,PR,434.5981805286912,423.0684596687406,517,437.14224564796905,427.2897878336468,41,448.7405918762089,435.39957596512056,417.91170406189553,406.5160152074544
2015,Sudeste,ES,426.2743150384194,427.79530762914015,911,432.98684412733263,433.6924035160833,32,440.18985290889134,441.69468503149864,405.646248079034,407.99883433983865
2015,Centro-Oeste,DF,425.6687839029769,417.1566485144476,907,434.757776185226,427.6397586079362,53,439.79324035281144,430.9001169952439,402.4553351708931,392.93006994016287
2015,Sul,SC,419.04483678160915,413.7246089989433,870,424.4356287356322,419.5437723970986,42,430.1903068965517,423.5904823269468,402.5085747126437,398.03957227278454
2015,Sudeste,MG,413.2888698153194,417.66904279840986,1101,419.06319164396007,422.53666034730117,31,428.19995640326977,433.11136722436777,392.6034613987284,397.35910082356054
2015,Centro-Oeste,GO,407.3093841875248,402.79569351618176,839,413.9652610250298,409.8325927145787,52,421.6569034564958,418.2711031522044,386.30598808104884,380.28338468176236
2015,Sudeste,SP,407.19362395679923,404.49612551405266,2037,412.5432228767796,410.14356405519374,35,419.2682317133039,416.9034633915907,389.76941728031414,386.44134909537354
2015,Sul,RS,406.2414977777778,403.28818470571423,900,414.48569444444445,412.43620793391244,43,412.6976755555556,410.6068346922714,391.54112333333336,386.8215114909587
2015,Centro-Oeste,MS,398.5322569360676,397.63753132358994,829,404.05181664656214,403.47779094441125,50,412.67955247285886,411.36866358148336,378.8654016887817,378.0661394448753
2015,Centro-Oeste,MT,397.0918041556145,391.06959040403194,754,402.8039429708223,396.80215482008333,51,409.7922665782493,403.64491870213385,378.6792029177719,372.7616976898786
2015,Nordeste,CE,396.0304953604568,397.86535024956714,934,401.5920310492505,400.8383205951361,23,407.98982012847966,411.7295385847317,378.5096349036403,381.0281915688335
2015,Norte,AM,394.4574105392157,395.764318801622,816,397.8937181372549,399.1680392697143,13,402.7615073529412,403.7511755025417,382.717006127451,384.3737416326099
2015,Norte,RR,391.9942376196421,390.33449197740885,801,400.3297041198502,399.27578355623626,14,403.70658177278403,401.1899585457608,371.9464269662921,370.5377338302294
2015,Norte,AC,390.24975966447846,394.0278603924825,914,395.93338183807435,399.31634259733767,12,402.6142964989059,406.0120293941295,372.2016006564551,376.75520918598033
2015,Nordeste,PI,389.86543805516595,375.4541024046793,713,396.394190743338,382.44511829276576,22,401.34832819074336,384.99355322724864,371.85379523141654,358.92363569402346
2015,Sudeste,RJ,384.6358702726473,385.176890160149,758,387.58903562005275,387.99654337422805,33,402.60522031662265,401.0636590024421,363.71335488126647,366.4704681037769
2015,Nordeste,PE,382.3423837301587,381.79210473575336,840,382.4010416666667,382.3116416169021,26,397.4018059523809,395.4811897954412,367.22430357142855,367.58348279491673
2015,Norte,RO,382.2607878787878,382.6019640597138,781,387.4380345710627,387.5543453156272,11,395.21516005121634,395.40122133150317,364.1291690140845,364.850325532011
2015,Nordeste,RN,379.11808883647797,372.1132872092828,848,383.6555365566038,376.29818679576516,24,393.9885849056604,388.27913488506175,359.71014504716976,351.76253994702165
2015,Nordeste,PB,376.0826137071651,374.0116446215588,749,381.551041388518,379.35545634979036,25,388.9300761014686,386.4347941533122,357.7667236315087,356.2446833615738
2015,Norte,AP,375.7022662517289,372.4246724597054,482,383.6188900414938,379.9735864306931,16,387.7806473029046,384.52693070646706,355.70726141078836,352.7735002419562
2015,Nordeste,SE,369.14490099009896,368.35728378663845,707,376.18205657708626,374.82932328294453,28,378.8548486562942,379.43743288154144,352.3977977369165,350.8050951954295
2015,Norte,PA,368.6382872340426,378.7992238670161,752,375.9102513297873,384.5737528079734,15,383.9191396276596,396.5037409230024,346.08547074468083,355.32017787007277
2015,Norte,TO,366.9771186778176,366.202983980485,837,373.08849581839905,372.264858223052,17,378.12691278375155,376.86180956705897,349.7159474313023,349.4822841513439
2015,Nordeste,BA,365.919911918795,360.4924915948589,1018,374.7430874263261,368.736855589686,29,374.5897131630648,368.9731427566325,348.4269351669941,343.7674764382583
2015,Nordeste,MA,361.5622415584415,362.8413862101144,770,369.5544207792208,371.0325542402528,21,373.8297727272727,376.00882525950504,341.3025311688312,341.4827791305854
2015,Nordeste,AL,358.9029788359789,352.55733187548975,756,366.5759920634921,361.3948714970487,27,367.64930291005294,361.4917423671198,342.48364153439155,334.7853817623008
