Ano,Região,UF,Rede,Série,Média_Geral,Média_Mat,Média_Port,N_Alunos
2015,Sul,SC,PUBLIC,9EF,266.17852738905805,268.6717033907004,263.6853513874157,58454.0
2015,Centro-Oeste,MS,PUBLIC,9EF,261.46393767194337,261.9649618905877,260.96291345329905,22173.0
2015,Sudeste,MG,PUBLIC,9EF,258.0126320712193,260.43444286680193,255.5908212756367,221850.0
2015,Sul,RS,PUBLIC,9EF,257.1811911307674,258.7594563027219,255.60292595881288,58562.0
2015,Centro-Oeste,GO,PUBLIC,9EF,255.75247331329672,256.21304988427124,255.2918967423222,57894.0
2015,Centro-Oeste,DF,PUBLIC,9EF,253.85920278056113,255.72703448563794,251.99137107548432,23952.0
2015,Sudeste,ES,PUBLIC,9EF,253.40026072263282,255.99102330869815,250.8094981365675,31662.0
2015,Sul,PR,PUBLIC,9EF,253.1428976155797,255.45900640666537,250.82678882449403,98179.0
2015,Nordeste,CE,PUBLIC,9EF,252.63494029143763,252.94104408960027,252.328836493275,80223.0
2015,Sudeste,SP,PUBLIC,9EF,252.54442643147593,254.27347976859764,250.81537309435421,429382.0
2015,Norte,RO,PUBLIC,9EF,252.01152688466274,252.93504172937477,251.0880120399507,14618.0
2015,Sudeste,RJ,PUBLIC,9EF,248.11225100895504,250.60507136299864,245.61943065491144,115466.0
2015,Norte,AC,PUBLIC,9EF,246.03544483101393,245.8973036779324,246.17358598409544,8048.0
2015,Norte,AM,PUBLIC,9EF,244.86541441480392,243.6967408880626,246.03408794154524,46258.0
2015,Norte,TO,PUBLIC,9EF,242.59724579370885,244.53822848085832,240.6562631065594,16404.0
2015,Centro-Oeste,MT,PUBLIC,9EF,241.79106269260404,244.01104744478687,239.5710779404212,31152.0
2015,Nordeste,PI,PUBLIC,9EF,240.58727447956824,242.00209294175372,239.17245601738279,28534.0
2015,Nordeste,PE,PUBLIC,9EF,240.38715778659486,242.55991415143356,238.21440142175615,84684.0
2015,Nordeste,RN,PUBLIC,9EF,238.5298168301312,240.5169053696986,236.54272829056384,22329.0
2015,Nordeste,SE,PUBLIC,9EF,238.25961109427095,240.3607268869354,236.15849530160654,16495.0
2015,Nordeste,BA,PUBLIC,9EF,235.39813979942062,237.45086552994522,233.34541406889602,127032.0
2015,Norte,RR,PUBLIC,9EF,234.92845965309203,235.84047511312215,234.0164441930619,5304.0
2015,Norte,PA,PUBLIC,9EF,234.5365203313154,235.1881773697886,233.8848632928422,75819.0
2015,Nordeste,PB,PUBLIC,9EF,234.50893600450718,236.58081228872538,232.437059720289,30174.0
2015,Nordeste,AL,PUBLIC,9EF,231.32872450229175,234.11174906406356,228.54569994051994,28581.0
2015,Norte,AP,PUBLIC,9EF,229.01058212441603,230.1613978362429,227.85976641258915,8134.0
2015,Nordeste,MA,PUBLIC,9EF,228.89902081120965,229.1668813526597,228.63116026975962,72509.0
