Ano,Região,UF,Filtro,Média_Geral,N_Alunos,Ciências_Natureza,Ciências_Humanas,Linguagens,Matemática,Redação
2022,Centro-Oeste,DF,STRICT_3EM,452.7015994431022,24421,396.8868310061013,440.9194586626264,438.1558167151222,431.9213381925392,518.7936611932354
2022,Nordeste,RN,STRICT_3EM,450.2938695216426,24612,398.0436860068259,434.8195351860881,427.5525962944905,429.2760767105477,530.3380464813912
2022,Sudeste,MG,STRICT_3EM,449.72545095886767,100205,391.323931939524,433.98831695025194,424.031549323886,438.2430796866424,527.6463250336809
2022,Sudeste,ES,STRICT_3EM,439.86553729585825,26044,380.617485793273,426.58162724619876,415.1529795730302,420.3968591614191,515.4023959453233
2022,Sul,RS,STRICT_3EM,437.0878703817141,57137,375.06520643365945,424.3346518018097,420.02454451581286,415.38787300698317,504.6740290879815
2022,Sudeste,RJ,STRICT_3EM,434.64748633997334,92972,376.0565234694317,423.4416415695048,416.36044938260983,415.4627038248075,504.2520328701114
2022,Sudeste,SP,STRICT_3EM,430.52219847461146,237404,371.5543276440161,418.41893607521354,415.4396488685953,417.31756962814444,490.47665582719753
2022,Nordeste,PI,STRICT_3EM,428.67312997954355,24768,382.93740310077516,413.5848635335918,401.3941860465116,413.6824652777778,509.1658591731266
2022,Sul,SC,STRICT_3EM,427.55272611444025,40551,368.8845231930162,416.1402456166309,409.5399274987053,408.3503267490321,488.79731695889126
2022,Nordeste,SE,STRICT_3EM,422.8184589494593,18124,374.214930478923,409.92452549106156,398.57435996468774,398.6727488413154,501.5769145883911
2022,Nordeste,BA,STRICT_3EM,411.74247042259356,80495,363.0149822970371,401.7692291446674,392.9032573451767,387.2355077955152,477.4522641157836
2022,Sul,PR,STRICT_3EM,410.41254547038073,68891,357.53105195163374,401.9870302361702,394.8595143052068,392.37755004282127,460.03222481891686
2022,Nordeste,PB,STRICT_3EM,410.2525098633336,31683,364.146854780166,397.2196319792949,387.95837515386796,389.81145724836665,485.17690875232773
2022,Nordeste,PE,STRICT_3EM,405.40606293439396,66376,359.2127139327468,393.6537257442449,387.2438260817163,390.516221224539,463.6293238519947
2022,Norte,PA,STRICT_3EM,398.8541027374113,56221,352.33978762384163,391.12464203767274,377.40871026840506,369.6777769872468,466.5132245957916
2022,Centro-Oeste,MS,STRICT_3EM,396.8293912776302,18443,345.86845415604836,386.02161253592146,379.74452095646046,374.77308463915847,451.3419725641165
2022,Nordeste,AL,STRICT_3EM,392.8870811905875,21390,348.0420383356709,382.25475923328656,373.74079943899017,374.6084338475923,452.35998129967277
2022,Nordeste,MA,STRICT_3EM,392.2634484010481,42236,350.7817051804148,381.63230419547307,370.8338834169902,369.09286153991854,452.9036840609906
2022,Centro-Oeste,MT,STRICT_3EM,390.38919270160943,23238,340.70198812290215,381.92010930372663,373.8875075307686,367.4694982356485,442.82038041139515
2022,Norte,AP,STRICT_3EM,388.04509327097946,6415,341.0220265003897,385.2785502727981,374.7402805923616,354.1209508963367,439.66952455183167
2022,Norte,AC,STRICT_3EM,388.03491280968893,6633,338.0659279360772,379.1521634252977,371.2344941956882,359.3530076888286,448.8768279813056
2022,Nordeste,CE,STRICT_3EM,370.47387332403827,114039,334.48273923833074,364.36263032822103,355.5191680039285,357.9309946597217,403.1277019265339
2022,Norte,TO,STRICT_3EM,366.32504326047354,11712,321.67715163934423,356.51875,347.90100751366117,344.55891393442624,420.9972677595628
2022,Norte,RO,STRICT_3EM,354.23312243613947,13245,306.9507512268781,347.1921857304643,338.8445979614949,328.01060022650057,404.0453001132503
2022,Centro-Oeste,GO,STRICT_3EM,346.7304941210209,69740,301.217545167766,338.1321795239461,331.14269572698595,325.8811184399197,396.4473759678807
2022,Norte,RR,STRICT_3EM,346.4421404226312,2934,299.70296523517385,341.6590320381731,337.1731765507839,318.20865712338104,379.14792092706205
2022,Norte,AM,STRICT_3EM,289.2109045733571,37631,250.24801626318725,288.53430682150355,282.8726369216869,260.71584332066647,307.0542903457256
