Ano,Região,UF,Rede,Série,Média_Geral,Média_Mat,Média_Port,N_Alunos
2023,Sul,RS,PUBLIC,3EM,285.13232969630843,282.17137443171487,288.093284960902,27495.0
2023,Sudeste,ES,PUBLIC,3EM,283.67580875434646,282.2806042135406,285.0710132951524,24445.0
2023,Sul,PR,PUBLIC,3EM,282.9056071933288,279.55773962479907,286.25347476185857,92697.0
2023,Centro-Oeste,GO,PUBLIC,3EM,282.526097856669,280.3806704485669,284.67152526477116,43717.0
2023,Sul,SC,PUBLIC,3EM,279.82989725670177,279.16151663711275,280.49827787629084,9587.0
2023,Nordeste,PE,PUBLIC,3EM,277.4480684614964,276.1195713465325,278.77656557646026,73136.0
2023,Centro-Oeste,MS,PUBLIC,3EM,277.3420792393027,274.14044849445327,280.5437099841521,6310.0
2023,Nordeste,CE,PUBLIC,3EM,275.39187253925877,273.8407421821967,276.94300289632076,88388.0
2023,Sudeste,SP,PUBLIC,3EM,275.2088292896309,270.2826191910549,280.13503938820696,260611.0
2023,Sudeste,MG,PUBLIC,3EM,274.45211551817636,272.7070134812432,276.19721755510943,105109.0
2023,Centro-Oeste,DF,PUBLIC,3EM,271.2476722880583,267.9052552415679,274.5900893345488,10970.0
2023,Nordeste,PB,PUBLIC,3EM,268.47421741365616,265.6589648081507,271.2894700191616,21397.0
2023,Norte,RO,PUBLIC,3EM,268.3587204489374,266.5470516596355,270.1703892382393,12563.0
2023,Nordeste,PI,PUBLIC,3EM,268.3494402623537,267.9440131922188,268.75486733248863,26834.0
2023,Norte,AC,PUBLIC,3EM,267.3725086823289,264.98564453524006,269.75937282941777,4895.0
2023,Nordeste,RN,PUBLIC,3EM,266.0949356736811,262.5268804228583,269.66299092450384,10027.0
2023,Centro-Oeste,MT,PUBLIC,3EM,264.80523518469306,262.3916316768536,267.2188386925326,18815.0
2023,Norte,AP,PUBLIC,3EM,263.2494284821986,257.26353216739534,269.23532479700185,3202.0
2023,Norte,TO,PUBLIC,3EM,262.69188994591775,261.5347377337591,263.8490421580765,15347.0
2023,Norte,RR,PUBLIC,3EM,262.11553877139977,263.0580563947633,261.1730211480363,993.0
2023,Sudeste,RJ,PUBLIC,3EM,261.95333554506493,258.0375639045402,265.86910718558966,45967.0
2023,Norte,PA,PUBLIC,3EM,261.4822106498459,258.1044512900754,264.85997000961646,61353.0
2023,Nordeste,SE,PUBLIC,3EM,259.9150954354028,258.25546732780873,261.5747235429969,14722.0
2023,Nordeste,AL,PUBLIC,3EM,259.50027418276227,259.2451178159789,259.7554305495456,25421.0
2023,Norte,AM,PUBLIC,3EM,258.7438597376388,256.00508941585383,261.48263005942374,35676.0
2023,Nordeste,BA,PUBLIC,3EM,254.95800642372768,253.27569155274387,256.6403212947115,92314.0
2023,Nordeste,MA,PUBLIC,3EM,253.8642912371134,252.04464984002843,255.68393263419838,56260.0
