Region,UF,Mean_General,Student_Count,Math,Language,Humanities,Natural_Sciences,Essay
CO,DF,549.0269127795617,23668,552.9668496399087,547.3964397595462,581.8962842132023,510.4009131618228,556.8574625580995
SE,RJ,548.5061930595323,86267,555.900475470594,540.8758484123481,581.9057994768963,506.0573702945193,564.4255582535828
SE,MG,546.1255768925612,117636,558.3097151594893,534.01567388509,577.0666428035726,508.8457273923402,559.0731957776018
S,SC,543.955298653578,37284,554.4739092073431,539.2495661983937,583.7787630362327,508.3563736232461,539.0155057839036
SE,SP,542.5079790979416,241906,555.9539748456477,542.0982518453434,579.4722482955511,505.4918240350908,535.6549339825193
S,PR,535.1451736732259,55900,545.6052008150673,534.8227448661435,577.9516329788188,504.021859765387,518.6086733947637
SE,ES,534.1865106771022,27598,545.7720123390967,524.231876475931,570.2054753681149,498.24051635505117,539.6484227960551
S,RS,531.4888453661687,39226,537.3026332322653,531.5213388159575,573.760700408998,493.78387458006716,525.6180893989415
NE,RN,529.1182723905724,19800,537.7218233349079,520.73730882204,561.4472705154848,491.12272607988245,540.7118218877391
NE,SE,525.2519331602704,14253,523.581228668942,512.4454507101674,556.6010136562016,487.39610748002906,552.1934219124374
CO,MS,524.9412615779488,14935,529.7163421369397,522.3032756074641,562.3379829335483,495.9254903349147,519.8914163974985
CO,GO,522.3349278402108,45293,530.7510604740943,517.4829508486955,557.0854230828883,491.6663449996469,522.3957219251337
NE,PB,520.8568130391174,24925,526.8721348221327,509.8801270709345,554.1188327631314,484.0381221202939,535.5884067627218
NE,BA,516.5771594223252,71205,519.9734226352394,510.2760328949222,553.060466886577,482.84694240637543,521.9886042364403
CO,MT,514.0655153491743,19317,521.633720290493,511.5002133749675,552.5868774744738,484.8168738996479,506.426400347373
NE,PE,513.6229066896672,63187,526.6217991408878,507.8984843194515,548.899025731496,480.9266687757039,511.5785604491078
NE,PI,509.73513846958116,25505,515.8079985493814,500.6021214740316,543.2541481452342,477.08366976912845,516.3668860183606
NE,AL,509.382153811457,17736,517.6703409758966,502.36912986939564,542.780486838381,475.98183741844474,513.8690616875443
N,PA,507.593148344215,51003,508.32021418460084,499.34290067032293,544.7173000846307,474.99314433412655,515.8182262598281
N,RR,506.9596003370651,2769,516.965625,511.48473531544596,547.257780195865,483.8459976571652,481.3150893196503
N,RO,505.19284960224894,11146,512.7817587069463,504.7534659704717,544.1262911221271,477.0910140465653,493.42507068803013
NE,CE,504.88301048541626,93940,515.8021429209867,499.597335909408,540.4733275319345,472.200568588025,505.05367975277557
N,TO,500.67313581804655,10303,507.2839876986161,495.3256013243743,536.6044134840218,474.8611128189363,494.3031760344655
N,AP,500.6592812614595,6363,503.05574808397205,499.871541377132,539.799035725577,469.42157254705984,496.43436517132926
N,AC,496.7649281116526,5541,499.7353199617956,498.9578099547511,535.9412105835448,466.85577841451766,487.25710014947686
N,AM,493.7232866143113,26613,501.90671341070276,496.01579365379524,532.3809327170783,467.8626540971719,476.3592756925291
NE,MA,493.3528380335213,41665,497.52517879099645,491.64201565322094,532.7877707896575,467.17143323129426,481.1656919099375
